N2,goa-1_sa734_DG1856,0.48,0.184697293
N2,unc-38_e264_CB904,0.75,0.219822808
N2,unc-63_ok1075_VC731,0.52,0.203160716
unc-1_e94_CB94,unc-38_e264_CB904,0.46,0.172083791
unc-38_e264_CB904,unc-63_ok1075_VC731,0.71,0.261152958
